Province,District,Name,Party,,,,Year,First,Last
Pasig ,Lone ,Richard Eusebio ,Nacionalista ,1,Minority ,,17,Richard,Eusebio
Quezon ,1st ,Trina Enverga ,NPC ,1,Majority ,,17,Trina,Enverga
Quezon ,2nd ,Vicente Alcala ,PDP-Laban ,2,Majority ,,17,Vicente,Alcala
Quezon ,3rd ,Danilo Suarez ,Lakas ,1,Minority ,,17,Danilo,Suarez
Quezon ,4th ,Angelina Tan ,NPC ,2,Majority ,,17,Angelina,Tan
Quezon City ,1st ,Vincent Crisologo[12] ,PDP-Laban ,1,Majority ,,17,Vincent,Crisologo
Quezon City ,2nd ,Winston Castelo ,Serbisyo sa Bayan Party ,3,Majority ,,17,Winston,Castelo
Quezon City ,3rd ,Jorge Banal ,Serbisyo sa Bayan Party ,3,Independent minority ,,17,Jorge,Banal
Quezon City ,4th ,Feliciano Belmonte Jr. ,Liberal ,3,Majority ,,17,Feliciano,Belmonte
Quezon City ,5th ,Alfred Vargas[11] ,PDP-Laban ,2,Majority ,,17,Alfred,Vargas
Quezon City ,6th ,Jose Christopher Belmonte ,Liberal ,2,Independent minority ,,17,Jose,Belmonte
Quirino ,Lone ,Dakila Carlo Cua ,PDP-Laban ,3,Majority ,,17,Dakila,Cua
Rizal ,1st ,Michael John Duavit ,NPC ,1,Majority ,,17,Michael,Duavit
Rizal ,2nd ,Isidro Rodriguez Jr. ,NPC ,2,Majority ,,17,Isidro,Rodriguez
Romblon ,Lone ,Emmanuel Madrona ,Nacionalista ,1,Majority ,,17,Emmanuel,Madrona
Samar ,1st ,Edgar Sarmiento ,Liberal ,1,Majority ,,17,Edgar,Sarmiento
Samar ,2nd ,Milagrosa Tan ,PDP-Laban ,2,Majority ,,17,Milagrosa,Tan
San Jose del Monte ,Lone ,Florida Robes ,PDP-Laban ,1,Majority ,,17,Florida,Robes
San Juan ,Lone ,Ronaldo Zamora[12] ,PDP-Laban ,2,Majority ,,17,Ronaldo,Zamora
Sarangani ,Lone ,Rogelio Pacquiao[12] ,PDP-Laban ,1,Majority ,,17,Rogelio,Pacquiao
Siquijor ,Lone ,Ramon Vicente Rocamora ,PDP-Laban ,1,Majority ,,17,Ramon,Rocamora
Sorsogon ,1st ,Evelina Escudero ,NPC ,2,Majority ,,17,Evelina,Escudero
Sorsogon ,2nd ,Deogracias Ramos Jr.[13] ,PDP-Laban ,3,Majority ,,17,Deogracias,Jr.
South Cotabato ,1st ,Pedro Acharon Jr. ,NPC ,3,Majority ,,17,Pedro,Acharon
South Cotabato ,2nd ,Ferdinand Hernandez ,PDP-Laban ,2,Majority ,,17,Ferdinand,Hernandez
Southern Leyte ,Lone ,Roger Mercado ,PDP-Laban ,1,Majority ,,17,Roger,Mercado
Sultan Kudarat ,1st ,Suharto Mangudadatu ,NUP ,1,Majority ,,17,Suharto,Mangudadatu
Sultan Kudarat ,2nd ,Horacio Suansing Jr.[12] ,PDP-Laban ,1,Majority ,,17,Horacio,Jr.
Sulu ,1st ,Tupay Loong1 ,NUP ,1, ,,17,Tupay,Loong
Sulu ,2nd ,Abdulmunir Arbison ,Nacionalista ,2,Majority ,,17,Abdulmunir,Arbison
Surigao del Norte ,1st ,Francisco Jose Matugas II ,PDP-Laban ,1,Minority ,,17,Francisco,Matugas
Surigao del Norte ,2nd ,Robert Ace Barbers ,Nacionalista ,1,Majority ,,17,Robert,Barbers
Surigao del Sur ,1st ,Prospero Pichay Jr. ,Lakas ,1,Majority ,,17,Prospero,Pichay
Surigao del Sur ,2nd ,Johnny Pimentel ,PDP-Laban ,1,Majority ,,17,Johnny,Pimentel
Taguig–Pateros ,1st ,Arnel Cerafica ,PDP-Laban ,3,Majority ,,17,Arnel,Cerafica
Taguig ,2nd ,Pia Cayetano ,Nacionalista ,1,Majority ,,17,Pia,Cayetano
Tarlac ,1st ,Charlie Cojuangco ,NPC ,1,Majority ,,17,Charlie,Cojuangco
Tarlac ,2nd ,Victor Yap ,NPC ,1,Majority ,,17,Victor,Yap
Tarlac ,3rd ,Noel Villanueva ,NPC ,2,Majority ,,17,Noel,Villanueva
Tawi-Tawi ,Lone ,Ruby Sahali[12] ,PDP-Laban ,2,Majority ,,17,Ruby,Sahali
Valenzuela ,1st ,Weslie Gatchalian ,NPC ,1,Majority ,,17,Weslie,Gatchalian
Valenzuela ,2nd ,Eric Martinez ,PDP-Laban ,1,Majority ,,17,Eric,Martinez
Zambales ,1st ,Jeffrey Khonghun ,Nacionalista ,2,Majority ,,17,Jeffrey,Khonghun
Zambales ,2nd ,Cherry Deloso-Montalla ,Liberal ,2,Majority ,,17,Cherry,Deloso-Montalla
Zamboanga City ,1st ,Celso Lobregat ,PDP-Laban ,2,Majority ,,17,Celso,Lobregat
Zamboanga City ,2nd ,Manuel Dalipe ,NPC ,1,Majority ,,17,Manuel,Dalipe
Zamboanga del Norte ,1st ,Seth Frederick Jalosjos ,Nacionalista ,3,Majority ,,17,Seth,Jalosjos
Zamboanga del Norte ,2nd ,Glona Labadlabad[13] ,PDP-Laban ,1,Majority ,,17,Glona,Labadlabad
Zamboanga del Norte ,3rd ,Isagani Amatong ,Liberal ,2,Independent minority ,,17,Isagani,Amatong
Zamboanga del Sur ,1st ,Divina Grace Yu[11] ,PDP-Laban ,1,Majority ,,17,Divina,Yu
Zamboanga del Sur ,2nd ,Aurora Enerio-Cerilles ,Nacionalista ,3,Majority ,,17,Aurora,Enerio-Cerilles
Zamboanga Sibugay ,1st ,Wilter Palma II ,PDP-Laban ,1,Majority ,,17,Wilter,Palma
Zamboanga Sibugay ,2nd ,Dulce Ann Hofer ,PDP-Laban ,2,Majority ,,17,Dulce,Hofer
